author_sort,authors,comments,cover,timestamp,formats,isbn,id,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,uuid
"Meyer, Erin","Erin Meyer","","/Users/andriigorishnii/Calibre Library/Erin Meyer/The Culture Map_ Breaking Through the Invisible Boundaries of Global Business (14)/cover.jpg","2022-05-05T21:16:39-07:00","azw3, epub","9781610392594","14","mobi-asin:B06XCGTKL8,isbn:9781610392594","eng","Calibre Library","2014-05-27T00:00:00-07:00","PublicAffairs","","","1.0","2282184","","The Culture Map: Breaking Through the Invisible Boundaries of Global Business","Culture Map: Breaking Through the Invisible Boundaries of Global Business, The","502f48b2-4d34-4eef-a6a5-e29e92a6bfe2"
"Latka, Nathan","Nathan Latka","","/Users/andriigorishnii/Calibre Library/Nathan Latka/How to Be a Capitalist Without Any Capital (15)/cover.jpg","2022-05-05T21:18:48-07:00","azw3, epub","","15","mobi-asin:B07DBQXMRD","eng","Calibre Library","2019-03-05T00:00:00-08:00","Penguin Publishing Group","","","1.0","11104828","","How to Be a Capitalist Without Any Capital","How to Be a Capitalist Without Any Capital","05cf2950-b028-4c23-ae9d-470098d6928a"
"Gall, John","John Gall","","/Users/andriigorishnii/Calibre Library/John Gall/SYSTEMANTICS. THE SYSTEMS BIBLE (16)/cover.jpg","2022-05-05T21:22:17-07:00","azw3, epub","","16","mobi-asin:B00AK1BIDM","eng","Calibre Library","2012-12-06T00:00:00-08:00","GENERAL SYSTEMANTICS PRESS","","","1.0","1296085","","SYSTEMANTICS. THE SYSTEMS BIBLE","SYSTEMANTICS. THE SYSTEMS BIBLE","8c4ed5e4-033b-4062-ace8-9ed806bb87a0"
"Eco, Umberto","Umberto Eco","","/Users/andriigorishnii/Calibre Library/Umberto Eco/Travels in Hyperreality (Harvest Book) (18)/cover.jpg","2022-05-05T21:22:52-07:00","azw3, epub","","18","mobi-asin:B00KV1QTDA","eng","Calibre Library","2014-06-24T00:00:00-07:00","Houghton Mifflin Harcourt","","","1.0","583772","","Travels in Hyperreality (Harvest Book)","Travels in Hyperreality (Harvest Book)","730279e3-c158-4a91-9a63-0f5287d0740f"
"habr.com","habr.com","","/Users/andriigorishnii/Calibre Library/habr.com/15 koghnitivnykh iskazhienii (19)/cover.jpg","2022-05-06T11:10:50-07:00","azw3, epub","","19","mobi-asin:8F8D7A5F59D64D52981A367D4195B22E","rus","Calibre Library","2020-11-27T00:00:00-08:00","","","","1.0","243512","","15 когнитивных искажений","15 когнитивных искажений","70b935ca-6951-486a-8a51-33d838f32f14"
"Оруэлл, Джордж","Джордж Оруэлл","«Последние десять лет я больше всего хотел превратить политические писания в искусство», — сказал Оруэлл в 1946 году, и до нынешних дней его книги и статьи убедительно показывают, каким может стать наш мир. Большой Брат по-прежнему не смыкает глаз, а некоторые равные — равнее прочих…
","/Users/andriigorishnii/Calibre Library/Dzhordzh Oruell/1984 (20)/cover.jpg","2022-05-06T11:12:40-07:00","epub, mobi","","20","mobi-asin:FX5H3EKZOPDSPXIJBSNYNSOTNZIY4SN7","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","645799","","1984","1984","56e6efdf-e1b5-474d-ba1a-994f202c68b8"
"Morgan, Kate","Kate Morgan","Changing minds is hard to do: When our most dearly held opinions — things like political convictions","","2022-05-06T11:14:14-07:00","epub, mobi","","21","mobi-asin:HWQACLG5JHGDRVZD2HME3X54AA5QAOSO","","Calibre Library","2019-03-05T00:00:00-08:00","","","","1.0","58471","","A Guide to Changing Someone Else’s Beliefs","Guide to Changing Someone Else’s Beliefs, A","51a5345d-e417-4327-b113-7fc638da95c5"
"Ravikant, Naval","Naval Ravikant","","","2022-05-06T11:16:51-07:00","azw3, epub","","22","mobi-asin:B418D61993244111B9D6486679D982DF","eng","Calibre Library","2020-04-21T00:00:00-07:00","","","","1.0","221732","","Naval: How to Get Rich","Naval: How to Get Rich","d09b1971-9447-4acc-821d-0262164816ea"
"Kiyosaki, Robert","Robert Kiyosaki","","","2022-05-06T11:17:33-07:00","epub, mobi","","23","mobi-asin:7KDNFJIYH2EFZ7WPC7XYLZRMCQ2KZJUQ","eng","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","204584","","Rich Dad Poor Dad","Rich Dad Poor Dad","d492aeef-8ee0-4729-a313-d6e83e92a552"
"Pausch, Jeffrey Zaslow Randy","Jeffrey Zaslow Randy Pausch","","/Users/andriigorishnii/Calibre Library/Jeffrey Zaslow Randy Pausch/The Last Lecture (24)/cover.jpg","2022-05-06T11:18:25-07:00","epub, mobi","","24","mobi-asin:GED5EVUMBLRSMOBNSEP6UN3ZIM4O2JOW","eng","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","166135","","The Last Lecture","Last Lecture, The","9c7b884d-824b-47f2-b2dd-7e96221a13c8"
